index,word,meaning
2346,aromático,adj. -á kúnún'hwéla loc. adj.
2347,aromatizado,"adj. -á kúnún héla, -á kúnún'hwélísíwa loc. adj."
2348,aromatizante,adj. 2 gen. -á kúnún'hélisa loc. adj. 2. s. m. xinun'hwelisi (xi-svi).
2349,aromatizar,v. t. kunun'hwelisa v caus.
2350,arpão,s. m. tové (ri-ma).
2351,arpéu,s. m. xitováná (xi-svi). [cf. arpão].
2352,arqueação,s. f. a) nkhotseko (mu-mi). b) (curvatura de um arco) ritsarhí (ri-ma).
2353,arqueadura,"s. f. nkhotseko (mu-mi), ritsarhí (ri-ma)."
2354,arqueamento,"s. m. nkhotseko (mu-mi), ritsarhí (ri-ma)."
2355,arquear,v. t. kukhotsa v. t. 2. v. pron. kukhotseka v. i.
2356,arqueio,s. m. nkhotseko (mu-mi).
2357,arqueiro,"s. m. a) (fabricante de arcos) mukhándhi wá mávúrha (mu-va). b) (vendedor de arcos) muxavisi wá mávúrha (mu-va). c) (soldado armado com arco, ou aquele que atira com arco) sóchwa rá kulwa hí vúrha (ri-ma); mucopi (mu-va)."
2358,arquejamento,"s. m. kuhéfémútéka, kutlhákámútéka, (ku), kutlhákatlháka, kudáka-dáka-dáka, kuhéfuhéfu ideo., héfémútéko, tlhákámútéko (mu-mi), mahika (ma), vuhéfuhéfu, vutlhákatlháka (vu)."
2359,arquejante,"adj. 2 gen. -á kuhéfémútéka, -á kutlhákámútéka, -á kuhéfuhéfu, -á kutlhákatlháka, -á máhíka loc. adj."
2360,arquejar,"v i kuhéfémútéka, kutlhákámútéka v i, kuhéfuhéfu, kutlhákathlháka ideo."
2361,arquejo,"s. m. héfémútéko, tlhákámútéko (mu-mi), mahika (ma), vuhéfuhéfu, vutlhákatlháka (vu)."
2362,arqueologia,s. f. ntívómarhúmbi (mu) (sem plural).
2363,arqueológico,adj. -á ntívómarhúmbi loc. adj.
2364,arqueólogo,"s. m. ntívámarhúmbí (yi-ti), mutívámarhúmbí (mu-va)."
2365,arquiabade,s. m. (superior de um grupo de abades) mufúndhisánkúlú (mu-va). [cf. abade].
2366,arquipélago,s. m. ntlawá wá mátíva (mu-mi).
2367,arquitectar,v. t. a) (idear (espaço ou elemento arquitectónico); fazer o projecto arquitectónico de) kukúngúhátá ta vuyáku; kululamisa mpulana yá kuyáká v. t. b) (fig.) (planejar; tramar) kukúngúháta; kuluka v. t.
2368,arquitecto,"s. m. ntivá vululamisi bzá mpulana yá kuyáká (mu-va), mululamisi wá mpulana yá kuyáká (mu-va), rikitétu (mu-va). (P)."
2369,arquitectónico,adj. -á vuyákí; -á mayákéla loc. adj.
2370,arquitectura,"s. f. a) vululamisi bzá mpulana yá kuyáká (vu), vurikitétu (vu). (P) arquitecto. b) (conjunto das obras arquitectónicas executadas em determinado contexto histórico, social ou geográfico) mayákéla (ma). c) (o conjunto de conhecimentos relativos à arquitectura) ntívóvúlulamisi bzá mpulana yá kuyáká (mu) (sem plural)."
2371,arquivar,"v. t. a) (guardar em arquivo; conservar) kuhlayisa, kuvékísá v. t. b) (fig.) (não dar a (alguém) as oportunidades de ascensão ou de influência, realização profissional, etc.) kufurheka, kuloveka v. t. c) (fig.) (não levar em conta; ignorar) kubá hí makátlá (idiom.) [cf. ignorar]."
2372,arquivista,"s. m. muhlayisi wá matsálwa yá matímú, muvékísi wá matsálwa yá matímú (mu-va)."
2373,arquivo,"s. m. a) (conjunto de documentos manuscritos, gráficos, fotográficos, etc.) xihlengéletá xá matsálwa (xi-svi). b) (lugar onde se recolhem e guardam esses documentos) vuhlayiselo bzá matsálwa (vu). || [arquivo histórico]: vuhlayiselo bzá matímú. c) (móvel para guardar documentos) xihlayiselo xá matsálwa yá matímú (xi-svi). d) (Inform.) (conjunto de dados ou de instruções, armazenado em meio digital e identificado por nome) dokumentu (ri-ma). (P) documento, fáyile (ri-ma). (1) file."
2374,arrabalde,s. m. mindzelekanu yá dórópa (mi).
2375,arrabaldes,s. m. (arredores) mivundzamanu (mi).
2376,arraia,s. f. (peixe do tipo dos rajídeos) xikáví (xi-svi).
2377,arraial,"s. m. vugovelo (vu), govéla (ri-ma)."
2378,arraiar,| raiar v. i. (despontar no horizonte; começar a aparecer. Diz-se do sol.) kutlhava (ká jámbu) v. i.
2379,arraigado,"adj. a) (firmado pela raiz; fixo) -á kusímékíwa, -á kusímá, -á kútshókóvéla loc. adj. b) estabelecido, radicado; que fixou moradia) -á kúdzímá tímíntsu; -á kuyáká loc. adj."
2380,arraigar,"v. t. (firmar pela raiz; fixar) kudzima, kusíméká, kutshokoveta v. t. 2. v. i. a) (lançar ou criar raízes; radicar-se) kudzima timintsu v. i. b) estabelecer-se, radicar-se; fixar moradia) kuyáká v. i."
2381,arrancar,"v. t. a) (desprender da terra) kutsuvula, kusímúlá v. t. || [arrancar tufos de ervas com golpes de enxada]: kubvavula v. t. b) (fazer sair, puxando) kuhlomula; kugúlá; kurhúndzúvúla | kurbúrbúvúla, kurhúrbúmbúla v. t. c) (afastar, desviar) kususa, kukhipa v. t. d) (tirar à força) kuwutla v. t. 2. v. i. a) (partir ou sair com impeto ou de repente) kubángúlá v. i. b) (pegar, por exemplo, o motor de arranque de um automóvel) kustátá v. i. (1) start. c) (pegar, por exemplo, o motor) kuduma v. i. d) (começar) kusungula v. i."
2382,arranha-céu,s. m. xitlotlomatilo; xitlhi-vatilo (xi-svi).
2383,arranhadura,"s. f. rhárhámbútu, tlátlámbútu, nkwema (mu-mi)."
2384,arranhão,"s. m. rhárhámbútu, tlátlámbútu, nkwema (mu-mi)."
2385,arranhar,"v. t. a) (raspar de leve com as unhas ou com a ponta de qualquer instrumento) kurhálá v. t. b) (ferir ou esfolar mais ou menos de leve a pele de) kukwempfa, kun'wevha, kunyarha | kun'warha, kurhárhámbúla, kutlátlámbúta v. t. || [arranhar e bicar. Diz-se das aves.]: kutlotloma v. t. c) (conhecer pouco (uma lingua, uma disciplina)) kutlátlámbúta, kuzama v. t. d) (ofender, ferir moralmente) kuyevula v. t. 2. v. i. a) (ser áspero, podendo produzir arranhadura) kukhwáxá, kugwányá v. i. b) (fazer qualquer coisa superficialmente, sem se aprofundar) kumpfámpfárhúta, kuphápháwúta v. i. 3. v. pron. (ferir-se ou esfolar-se) kutin'wárhá v. pron."
2386,arranjado,"adj. -á kúlúngísíwa, á kúlúnga, -á kúlúlámísíwa loc. adj."
2387,arranjar,"v. t. a) (pôr em ordem, arrumar) kululamisa, kululamisela, kulungisela | kulunghisela v. caus. b) (consertar, reparar) kulungisa kulunghisa v. caus. c) (conseguir, obter) kukuma v. t. 2. v. pron. a) (preparar-se) kukhópétá v. i., kutilungísa, kutilungíséla | kutilunghisa, kutilunghiséla v. pron. b) (sair-se bem de situações difíceis) kuhúméléla v. i. c) (avir-se, arrumar-se) kutivónéla, kutiláyíthéla v. pron."
2388,arranjo,s. m. a) (boa ordem ou disposição) nhlayiseko (mu-mi). b) (administração e/ou arrumação doméstica) nkorhoko (mu-mi). c) (disposição harmoniosa ou artística) nsásékíso (mu-mi). d) (acordo de conveniência entre pessoas) ntwánánu (mu-mi).
2389,arranque,"s. m. a) kusuka; kusúngúlá (ku), masúngúlu (ma). b) (acto ou efeito de se começar o trabalho de um motor ou máquina) kudumisa (en), kurankara (ku). (P) arrancar, kustátá (ku). (1) start. c) (motor de arranque) aránki (ri-ma). (P)."
2390,arrasado,"adj. a) (tornado plano) -á kúlévélíwa loc. adj. b) (que sofreu devastação, destruído) -á kuwónhétélíwa loc. adj. c) (abatido física ou moralmente) -á kuthóthóvála, -á gomé móyéni, -á kuyeve loc. adj. d) (completamente sem dinheiro) -á kudzétá, -á kúwa loc. adj. e) (cheio, quase transbordando) -á kukhápa loc. adj."
2391,arrasar,"v. t. a) (tornar raso, nivelar) kulevela v. t. b) (encher até quase transbordar) kutlóngá v. t. c) (deitar abaixo; destruir) kudiliza, kuhirimuxa v. caus. kuwónhétéla, kukhúkhúmbá v. t. d) (abater física ou moralmente) kutshova; kuwisa v. t. 2. v. pron. a) (encher-se até quase transbordar) kutálá v. i. b) (prostrar-se, abater-se física ou moralmente) kutsana, kuthóthóvála v. i."
2392,arrastadeira,s. f. xihúmélo (xi-svi).
2393,arrastado,"adj. -á kukókíwá, -á kukókákókíwa; -á kukókóvísíwa, -á kuchíchílízíwa, -á kubúbúlísíwa loc. adj."
2394,arrastamento,"s. m. kukókóvísa, kukókákóka, kuchíchílíza; kukókóvá, kubúbúlá (ku)."
2395,arrastar,"v. t. a) kukókóvísa, kukókákóka; kudódómbísa, kudonsa v. t. || [arrastar pelo chão, por exemplo, o vestido, a saia, ao andar]: kuchíchílíza v caus. 2. v. pron. kukókóvá v. i. || [arrastar-se, de barriga no chão]: kutshintsha, kumpshimpsha|kupshimpsha v. i. || [arrastar-se, andar colado em]: kutsotsa, kunkwala v. i. 2. arrastar-se como a cauda de vestido]: kubúbúlá v. i."
2396,arrasto,"s. m. a) (acto de arrastar) kukókóvísa, kukókákóka; kudódómbísa, kudonsa (ku). b) (saco e cabos de rede de pesca) nkúkútú (mu-mi)."
2397,arrátel,"s. m. (antiga unidade de medida de peso, equivalente a g ou onças) aratéle (ri-ti) (plural: tiaratéle). (P), líbra (ri-ma). (P) libra."
2398,arrazoar,"v. t. a) (expor ou defender (causa, assunto, argumento, etc.) alegando razões) kuhlamusela, kukánélá, kuxuxa v. t. b) (censurar) kusola v. t. c) (altercar, disputando) kukánétána, kuhólóvísána, kuténgísána v. rec. 2. v. i. (discorrer, falar) kuvúlávúla v. i."
2399,arrear,v. t. (aparelhar uma cavalgadura) kub'óphéla v. t. (Z) ukubophela.
2400,arrebanhar,"v. t. a) kuhlengeleta svifúyú v. t. b) (fig.) (juntar ou recolher (objectos)) kuhlengeleta, kuhlengeletela v. t."
2401,arrebatado,"adj. a) (que se deixa levar pelos sentimentos, sem medir as consequências) -á gúgu, á mágúgu, á mátlótlo -á mádlódlo, -á vútlótlo, -á vúdlódlo loc. adj. b) (em que transparecem precipitação, irreflexão, etc.) -á futa, -á vutlátlá loc. adj. c) (dominado pela emoção, pelo entusiasmo) -á kúrhómba, -á kúnyányúka, -á mányawú; -á kunyáwúkélíwa loc. adj."
2402,arrebatamento,"s. m. manyawú (ma), gugu (ri-ma) | magugu, matlotlo | madlodlo (ma) \vutlotlo, vudlodlo (vu)."
2403,arrebatar,"v. t. a) (agarrar subitamente) kubvavula | kubavhula v. t., kubvavú ideo. b) (aferrar, lançar garras a) kubvónyóngéta | kuvhónyóngéta v. t. c) (tirar à força; tomar pela força) kuwutla, kuhuba, kuhlunga; kub'anga kuvanga v. t. d) (cativar; maravilhar) kukóká, kukhómá (mbilú) v. t."
2404,arrebentar,"| rebentar 1. v. t. a) (partir, quebrar) kufaya, kudláyá v. t. b) (explodir, estoirar) kubúlúsá v. caus. || [arrebentar, lançando o conteúdo para fora]: kubúndlúsá, kubúvúsá v. caus. c) (rebentar, quebrar, por exemplo, um fio) kutlhínyá kuphinyá v. t. 2. v. i. a) kubúlúká, kubáléká v. i. || [arrebentar, lançando o conteúdo para fora]: kubúndlúká, kubúvúká v. i. b) (ceder, por exemplo um fio, uma corda) kutlhínyéká kuphinyéká v. neutr. pass. c) (arrebentar por todos os lados, como o sarampo) kubébémúka v. i. d) (desgastar-se fisicamente; levar-se à exaustão) kutidláyá v. pron., kuphínyéká v. i."
2405,arrebitar,"v. t. (revirar para cima) kuyímísá | kunyímísá; kutlakusa v caus. 2. v. i. & pron. (animar-se, tornar-se esperto e activo) kunyawuka v. neutr. pass kunyawukeliwa v. i. kuanimara v. i. (P) animar."
2406,arrecadação,"s. f. a) (acção de cobrar renda ou tributo) kuhlengisa; kuhákélísa; kurhésísá, kuqaxisa rhésa (ku). b) (local em que as riquezas são guardadas) vuhlayiselo (vu)."
2407,arrecadar,"v. t. a) (ter ou guardar em lugar seguro) kuhlayisa, kuvékísá; kuvéká v. t. b) (cobrar (renda, imposto)) kuhlengisa; kuhákélísa; kurhésísá, kuqaxisa rhésa v caus. c) (aceitar em pagamento) kuyamukela; kuhola v. t. d) (tomar posse de) kuyamukela v. t. e) (ajuntar; guardar) kuhlengeleta, kuvéká, kuhlayisa, kuvékísá v. t. f) (segurar, prender) kutamela, kukhómá v. t. g) (conseguir, arranjar) kukuma v. t."
2408,arrecuas,"s. f. pl. (usada na locução às arrecuas) xindzhákwandzhákwana xindzhákundzháku (xi-svi). Ex.: andar às arrecuas, andar recuando kufámba hi xindzhákwandzhákwana."
2409,arreda,"interj. (Designa ordem para alguém se afastar ou arredar) dedéka, hléhla, hambúka interj. (dirigida a uma pessoa), dedékáni, hlehláni, hambúkáni interj. (dirigida a mais de uma pessoa). [cf. afastar, arredar]."
2410,arredado,"adj. -á kútsávúxíwa, -á kúdédékísíwa, á kúhléhlísíwa, á kúhámbúkísíwa, -á kúsúsíwa, -á kúkhípíwa loc. adj."
2411,arredar,"v. t. kudedekisa, kuhámbúkísa, kuhlehlisa v. caus.; kususa, kukhipa, kutshindzeta v. t. 2. v. i. & v. pron. kudedeka, kuhámbúká, kuhlehla, kusuka v. i."
2412,arredio,adj. -á kutitsavúxa loc. adj.
2413,arredondado,"adj. a) -á xírhendzévútána loc. adj. b) (Diz-se de um número em que se desprezam todos os algarismos posteriores a uma certa ordem decimal) -á kúrédóndáríwa loc. adj., -á kukhákhátíwa loc. adj. (fig.) [cf. podar]."
2414,arredondamento,"s. m. a) kurhéndzévútísa (ku). b) (representação aproximada de um número em que se desprezam todos os algarismos posteriores a uma certa ordem decimal) kuredondara (ku). (P) arredondar, kukhákhátá (ku). (fig.) [cf. podar]."
2415,arredondar,"v. t. a) kurhéndzévútísa v. caus. b) (efectuar o arredondamento de (um número)) kuredondara v. t. (P), kukhákhátá v. t. (fig.) [cf. podar]."
2416,arredores,"s. m. pl. matlhelo yá dórópa, marhevé yá dórópa (ma), mivundzamanu (mi), masabába (ma). (1) suburb."
2417,arreeiro,| arrieiro s. m. (homem que guia bestas de carga) muchayeli wá svifúyú svá kurhwálá (mu-va).
2418,arrefecer,"v i kuhóla, kutítíméla v. i. 2. v. t. kuhólísá, kutítímélísa v. caus."
2419,arrefecido,"adj. -á kuhólá, -á kutítíméla loc. adj."
2420,arrefecimento,"s. m. kuhóla, kutítíméla; kuhólísá, kutítímélísa (ku)."
2421,arregaçar,"v. i. a) (alçar, diz-se da roupa) kukwinya v. t. b) (puxar para cima, por exemplo, as mangas de uma camisa) kutlhekuta v. t. || [arregaçar, dobrando, por exemplo, as calças, a manga de uma camisa]: kukhóndlá v. t. || [arregaçar, franzir, enrugar]: (os lábios) kupfingúlá, kumínúlá v. t.; (o cenho) kukanya, kubóhá (xímombó) v. t.; (as sobrancelhas) kuvítsínyá v. t."
2422,arregalar,"v. t. & i. (Diz-se dos olhos) kuhonola, kuponyola | kupondzola v. t. & i."
2423,arreganhar,"v. t. a) (abrir, alargar (a boca, os lábios)) kuyáhlámísa v caus. b) (abrir muito (os olhos)) kuhonola, kuponyola kupondzola v. t. c) (deixar ver (os dentes) abrindo os lábios) kucínámísa v caus., kucííní ideo. 2. v. i. a) (abrir, alargar (a boca, os lábios)) kuyáhlámá v. i. b) (abrir muito (os olhos)) kuhonoka, kuponyoka kupondzoka v. i. c) (eixar ver (os dentes) abrindo os lábios) kucínámá v. i., kucííní ideo."
2424,arreganho,"v. t. (abertura da boca mostrando os dentes) kucínámá, kucííní (ku)."
2425,arregimentar,"v. t. a) (organizar em regimento militar, formar (um corpo de tropas)) kuvúmbá (vúthú) v. t. b) (ext.) (reunir em partido, associação ou grupo) kuvúmbá (nhlángánu) v. t. 2. v. pron. a) (servir (um oficial) em regimento) kulandza (vusóchwa) v. t. b) (ext.) (associar-se) kujóyíná (nhlangánu) v. t."
2426,arreios,s. m. pl. svib'óphélo (svi).
2427,arrelia,"s. m. phorhé (ri-ma), mahlúndzú (ma)."
2428,arreliado,"adj. -á kukwátá, -á kuhlúndzúká loc. adj."
2429,arreliar,"v. t. kukwatisa, kuhlúndzúlá v. caus."
2430,arrematação,| rematação s. f. a) kuhétíséla (ku). b) (compra de bens em leilão) kuxava hí kuhákélá kutlúla ván'wána (ku).
2431,arrematar,| rematar v. t. a) (finalizar) kuhétíséla v. t. b) (comprar em leilão) kuxava hí kuhákélá kutlúla ván'wána v. t.
2432,arremate,"| remate s. m. a) kuhétíséla (ku), vuhétísélo (vu), makumu, mapfaléla (ma). b) (Fut.) (pontapé forte na bola para a baliza contrária) xibamu (xi-svi), mpaxwá (mu-mi), remáte (ri-ma). (P)."
2433,arremessar,"v. t. kuhoxa, kujíkíjéla, kucúmékétéla | kucúkúmétéla v. t. 2. v. pron. (abalançar-se, atrever-se) kutíyá v. i., kutihóxá v. pron."
2434,arremesso,"s. m. kuhoxa, kujíkíjéla, kucúmékétéla | kucúkumétéla (ku)."
2435,arremeter,"v. i. a) (lançar-se, atacar com impeto ou fúria) kudumela, kugivela v. t. b) (adiantar-se, com impeto; avançar ameaçadoramente) kukhúzá, kupfhumpfha v. i. c) (abalançar-se, atrever-se) kutíyá v. i., kutihóxá v. pron. d) (dizer em tom impetuoso, muito irritado) kuhahela, kudumela v. t.; kuvúla hí xísohésóhé v. t. 2. v. t. a) (atirar com impeto) kucúmékétéla, kuhoxa v. t. b) (fazer sair com impeto; incitar) kuqeka v. t. kukhúzísá v. caus. Ex.: Arremeteu o cão contra o ladrão. Ákhúzélísé mbzáná ká muyíví."
2436,arremetida,"s. f. a) (acto ou efeito de arremeter; assalto) ndhumelo, nhlásélo, mugivelo (mu-mi), vudumeli, vuhlásélí (vu). b) (acção temerária, arrojada) vunhenha (vu). c) (conflito, luta) yimpí | nyimpi (yi-ti)."
2437,arrendador,s. m. mulugarisi (mu-va). (P) alugar.
2438,arrendamento,"s. m. kulugarisa (ku) (P), kuqaxisa (ku), nqaxiso, vuqaxisi (mu-mi), vulugarisi (vu). (P) aluguer."
2439,arrendar,"v. t. a) (dar algo de aluguer) kulugarisa v. t. (P) alugar, kuqaxisa v. t. b) (tomar algo de aluguer) kulugara v. t. (P) alugar, kuqaxa v. t."
2440,arrendatário,s. m. (aquele que toma de arrendamento) mulugari (mu-va).
2441,arrendável,"adj. 2 gen. a) (que pode ser oferecido em arrendamento) -á kúlúgáríséka, -á kúqáxíséka loc. adj. b) (que pode ser tomado em arrendamento) -á kúlúgáréka, -á kúqáxéka loc. adj."
2442,arrepanhar,"v. t. a) (recolher, apanhar) kutékétéla, kub'úthéla v. t. b) (fig.) (tirar, apanhar com violência; arrebatar) kuwutla, kuhuba v. t. c) (repuxar, enrugar) kuwonya v. t."
2443,arrepender-se,"v. pron. kutiláyá, kutiyanákánya, kutisóla v. pron., kukháwúlá v. i., kuvúya xipórwéni v. i. (idiom.). [cf. aconselhar, repreender]."
2444,arrependido,"adj. & s. m. -á kubíwa hí rípfálu, -á kutiláyá, -á kukháwúlá loc. adj."
2445,arrependimento,"s. m. ripfalu (ri-ma), kutiláyá (ku). Ex.: agir correctamente depois do arrependimento kukháwúlá."
2446,arrepiado,"adj. a) (eriçado (cabelos, pêlos, etc.)) -á kubvíbvíníní loc. adj. b) (aterrado, horrorizado) -á kúdzúkísíwa, -á kúrhúrhúméla, -á kutsuvuka ní misísí loc. adj. c) (franzido) (nomo) wá kupfingúka loc. adj. (Diz-se dos lábios.); (mombó) wá kúkányána loc. adj. (Diz-se do cenho.); (tinxiyí) tá kuvítsíká loc. adj. (Diz-se das sobrancelhas.)."
2447,arrepiador,adj. -á kutsuvula ní misísí loc. adj.
2448,arrepiante,adj. 2 gen. -á kutsuvula ní misísí loc. adj.
2449,arrepiar,"v. t. a) (levantar, eriçar (cabelos, pêlos, etc.)) kubvíbvínínísa v. caus. b) (fazer eriçar ou tremer de medo, horror; fazer tremer de frio; causar arrepios em) kuchávísá v caus. kutsuvula ní misísí v. t. c) (franzir) (os lábios) kupfíngúlá, kumínúlá v. t., (o cenho) kukanya v. t., (as sobrancelhas) kuvítsínyá v. t. 2. v. i. (tornar-se desabrido (o tempo)) kuvísíngána, kuvísíká | kuvísúká v. i. 3. v. pron. a) (eriçar-se, estremecer ou tremer de medo, horror, etc.) kutsuvuka ní misísí v. i. b) (sentir arrepios por medo, susto, frio, etc.) kurhurhumela v. i."
2450,arrepio,"s. m. xirhurhumelo (xi-svi), ndzhividzo (mu-mi)."
2451,arrestado,adj. -á kukhómíwá loc. adj.
2452,arrestar,v. t. kukhómá (svilo) v. t.
2453,arrevesado,"adj. -á kúhlánékíwa, -á kúgúqúlíwa loc. adj."
2454,arrevesar,"v. t. kuhlaneka, kuguqula v. t."
2455,arriado,"adj. (prostrado, por cansaço ou doença) -á kutsána, -á gome, -á kuthóthóvála; -á kutsútsúlulu, -á kupúpútsálá loc. adj."
2456,arriar,"v. t. a) (abaixar, descer) kuyehlisa, kuxixa v. caus. b) (colocar, deitar no chão, sobre um móvel, etc. (objecto pesado)) kufúmbá, kupúpúlúta v. t. c) (depor (armas); render-se) kuphélísá, kubá mayiphéli v. i. [cf. capitulação]. d) (causar abatimento a) kutshova v. t. kuwisa nkorha v. caus. c) (deixar cair; deitar) kuwisa v. caus. 2. v. i. a) (cair ou vergar sob peso) kutsempfama, kukukwama v. i. b) (perder as forças; desanimar) kugódólá, kujíyélá, kuwa nkorha v. i. 3. v. pron. (cair ou vergar sob peso) kutsempfama, kukukwama v. i."
2457,arriba,"s. f. (margem elevada de um rio ou de um lago) rigiyagiya (ri-ti), ribiribiri (ri-ma). 2. adv. (acima; adiante) henhlá adv. 3. interj. (acima; adiante) henhlá adv., phézulu, phámbhení interj. (Z)."
2458,arribação,"s. f. kurhúrhá, kuguduka (ku)."
2459,arribar,"v. i. a) (aportar) kukhisa v. i. b) (mudar de pouso; migrar) kurhúrhá, kuguduka v. i."
2460,arrieiro,| arreeiro s. m. (homem que quia bestas de carga) muchayeli wá svifúyú svá kurhwálá (mu-va).
2461,arrimar,"v. t. kukhígétéla, kusékétéla, kuqaka, kukúngétá v. t."
2462,arrimo,"s. m. a) (encosto, apoio, escora) xisékétélo, xikhígétélo, xiqaku (xi-svi), nkúngéto (mu-mi). b) (fig.) (amparo, protecção, auxílio) xisírhélélo, xipfunu (xi-svi), nsékétélo (mu-mi)."
2463,arriscado,"adj. a) -á kúvánga khombo loc. adj. b) (que revela, ou em que há arrojo; temerário) -á kulává xixínya loc. adj."
2464,arriscar,"v. t. a) (pôr em risco ou perigo; expor) kudláyísá, kuyánéka v. caus. b) (sujeitar à sorte; aventurar) kubeja, kukaza v. t. 2. v. i. & v. pron. a) (expor-se a risco, a bom ou mau sucesso; aventurar-se) kutíyá, kubeja v i, kutihóxá, kutibéjá, kutikázá v. pron."
2465,arrochar,"v. t. a) (apertar (carga) com arrocho) kusoha v. t. b) (apertar muito, por exemplo, a cintura a fim de parecer mais magro) kupsinya v. t."
2466,arrocho,"s. m. (torcedor, pau torto e curto com que se torcem as cordas para apertar fardos, cargas, etc.) xisoho (xi-svi)."
2467,arrogância,"s. f. a) madzalú (ma), kutikúlísá, kutikukúmúxa, kutítwa, kutigwírísá (ku), vutikúlísí, vutikukúmúxi; vutitívi, vutigwírísí, vutinonon'hwísi (vu). b) (falta de respeito) xinghanyiso (xi-svi)."
2468,arrogante,"adj. 2 gen. -á mádzalú, -á kutikukúmúxa, -á kutikúlísá, -á kutitívá, -á kutigwírísá, -á kutinónón'hwísa; á xínghányíso loc. adj."
2469,arrogar,v. t. kunyíká v. t. 2. v. pron. kutinyíká v. pron.
2470,arrojadiço,"adj. -á xixínya, -á kutíyá loc. adj."
2471,arrojado,"adj. a) (que se arroja ao perigo sem medo) -á xixínya, -á kutíyá loc. adj. b) (que revela, ou em que há arrojo; arriscado) -á kukárhátá, -á kulává xixínya loc. adj. c) (que apresenta características inovadoras; ousado) -á kurhángélá mínkámá; -á le mahlwéni, -á kútlákúka loc. adj.; -á kufámbélá loc. adj. (idiom.) Ex.: Este livro é arrojado. Búku leri ráhifámbélá. 2. s. m. (valentão) nghwázi (yi-ti)."
2472,arrojar,"v. t. a) (levar ou trazer de rojo ou de rastos; arrastar) kuhudula, kukókákóka v. t. b) (atirar) kuhoxa, kucúkúmétéla v. t. 2. v. pron. a) (andar de rastos; arrastar-se) kukókóvá v. i. b) (lançar-se, arremessar-se) kutihóxá v. pron. c) (lançar-se, atacar com impeto ou fúria) kudumela, kugivela, kuhahela v. t."
2473,arrojo,"s. m. a) (ousadia) xixínya (xi-svi), kutíyá (ku). b) (acto de arrojar, de arremessar) kuhoxa (ku)."
2474,arrolador,"adj. & s. m. a) (o que alista) mulongoloxi, muxaxameti; mutsálísí (mu-va). b) (o que faz inventário) mukonti (mu-va)."
2475,arrolamento,"v. t. a) (acto ou efeito de alistar) kulongoloxa, kuxaxameta; kutsálísá (ku), longoloxo, nxaxameto; ntsálíso (mu-mi). b) (inventariação) kukontela (ku). (P) contar."
2476,arrolar,"v. t. a) (alistar) kulongoloxa, kuxaxameta; kutsálísá v. t. b) (inventariar) kukontela v. t. (P) contar."
2477,arrolhar,v. t. kupfala hí róýi v. t. [cf. rolha].
2478,arrombado,"adj. a) (rompido com violência) -á kutlhányíwá, -á kupfhányíwá loc. adj. b) (abatido; humilhado) -á kútshóvíwa; -á gomé loc. adj."
2479,arrombador,"adj. & s. m. mutlhányí, mupfhányí, mubvávúlí (mu-va)."
2480,arrombamento,"s. m. kutlhányá, kupfhányá (ku), ntlhányú, mpfhányú (mu-mi)."
2481,arrombar,"v. t. kutlhányá, kupfhányá, kubvávúlá v. t."
2482,arrombo,"s. m. kutlhányá, kupfhányá (ku), ntlhányú, mpfhányú (mu-mi)."
2483,arrostar,"v. t. (encarar de frente) kukóngómána v i, kutíyélá v. t."
2484,arrotar,"v i kubolha, kubisa | kubzisa v. i."
2485,arroteado,"adj. a) (desbravado para plantação) -á kúhláhlíwa |-á kúnhlánhliwa, -á kúxákátsíwa loc. adj., -á kuchápíwá loc. adj. (1) to chop. b) (cultivado pela primeira vez; lavrado para o primeiro cultivo) -á kuphálúlíwa, -á kúkhátsíwa loc. adj."
2486,arroteamento,"v. t. a) (desbravamento de terreno para plantação) kuhlahla | kuhlanhla, kuxakatsa (ku), kuchápá (ku). (1) to chop, nxakatsu (mu-mi). b) (cultivo da terra pela primeira vez) kuphálúlá, kukhatsa (ku)."
2487,arrotear,"v. t. a) (desbravar (terreno) para plantação) kuhlahla | kuhlanhla, kuxakatsa v. t., kuchápá v. t. (1) to chop. b) (cultivar pela primeira vez; lavrar para o primeiro cultivo) kuphálúlá, kukhatsa v. t."
2488,arroto,"s. m. kubolha, kubisa kubzisa (ku), mubolho (mu-mi)."
2489,arroubamento,s. m. (impeto) manyawú (ma).
2490,arroubar,"v. t. kunyawuta; kunyawukisa v. caus. 2. v. pron. kunyawuka v. neutr. pass, kunyawukeliwa v. i."
2491,arroubo,s. m. (impeto) manyawú (ma).
2492,arroxeado,adj. -á muválányána wá vhínyu loc. adj.
2493,arroz,s. m. (a planta e o grão) mpunga (mu-mi).
2494,arrozal,s. m. masímú yá mpúnga (ma).
2495,arroz-doce,s. m. róxdósi (ri-ma). (P).
2496,arruaça,"s. f. ximóko (xi-svi). (1) smoke, dzólongá (ri-ma), mpfilúmpfilu (yi-ti)."
2497,arruaceiro,"adj. & s. m. (zaragateiro) mudzólóngányi, n'wásvimóko (mu-va)."
2498,arrugar,"v. t. (enrugar) kufinya v. t. 2. v. pron. a) kufinyeka, kuwonyeka v. i. b) (engelhanhar-se como fruta apanhada prematuramente) kubzátsángána v. i. c) (encolher, murchar) kukhányáná, kukhwányálá, kuvuna v. i. d) (franzir-se) kukhányáná v. i. Ex.: estar de testa franzida kukhányáná mombó, kubóhá mombó (fig.)."
