word,meaning,dailyKey
apurar,"v. t. a) (livrar de impurezas) kubasisa, kuténgísá, kuténgáháta v caus. || (apurar, afinar (metais)) kuríngá v. t. b) (aperfeiçoar, aprimorar) kuhétísékísa v. caus., kukúlúngá, kukúlúmpsá v. t. || (apurar, tornar mais concentrado, ou saboroso, por meio do acréscimo de temperos e/ou de ebulição demorada) kutokotisa v. caus. c) (seleccionar) kuhlawula, kulángá, kukhétá v. t. d) (receber, arrecadar) kukuma, kuyamukela v. t. e) (conhecer ao certo; averiguar) kutívísísa, kukámbá kukámbísísa v. t., kusecha v. t. (1) search. f) (fig.) (aguçar, aplicar) kurhíyá, kupfula v. t. Ex.: apurar o ouvido kurhíyá ndlevé. 2. v. i. & pron. a) (tornar-se puro) kubasa, kuténgá v. i. b) (aperfeiçoar-se) kutiyampsísa v. pron. kuhétíséka v. i. c) (tornar-se mais suculento, por meio de ebulição demorada) kutokota v. i. 3. v. pron. a) (vestir-se com primor e elegância; esmerar-se no trajar) kuhavela, kutháyá, kudárá, kuzényá, kubómbá kuvómbá, kuchépá v. i. (1) shape, kutichúná v. pron. (Al) schön. b) (perder a calma; irritar-se) kuhlúndzúká, kuvila v. i. c) (caminhar apressadamente; apressar-se) kugányúla, kukhápúlá; kuhatlisa v. i.",20280814
decidir,"v. t. kutsema, kubóhá v. t., kudisidira v. t. (P). 2. v. pron. kutiyimíséla v. pron.",20280815
descansar,"v. t. (permitir descanso) kuhúmútá, kuwisisa v. caus. 2. v. i. kuhúmúlá, kuwisa v. i. || [descansar durante a parte mais quente do dia; fazer a sesta]: kudzúmbá v i, kudixkansara v. i. (P).",20280816
quente,adj. 2 gen. -á kuhísá loc. adj.,20280817
negociar,"v. t. a) (fazer negócios; exercer o comércio) kuxavisa, kubindzulisa v. t.. b) (promover o andamento de, ajustar) kulandza v. t.. c) (ajustar, combinar) kutwanana v. t.. d) (manter relações para concluir tratados ou convénios) kukanelisana, kuvulavulisana v. t.",20280818
aprender,"v. t. & i. kujóndzélá, kujóndzá, kufúndhélá, kufúndhá v. t. & i.",20280819
superar,"v. t. a) (vencer, subjugar, dominar) kuhlúlá v. t. . b) (destruir, devastar, arrasar, aniquilar) kuhohlota | kugolhoza, kuwónhá, kuwónhétéla, kukhúkhúmbá v. t. . c) (livrar-se de, afastar) kubákányá, kubákányísa v. t. . d) (exceder, ultrapassar) kutlúlá, kuhundza, kunhlúlá v. t. . e) (levar vantagem a; sobrepujar) kuhlúlá, kupatsula v. t.",20280820
esconder,"v. t. a) (ocultar (algo)) kutumbeta v. caus., kufíhlá, kutlhota v. t. b) (ocultar (algo) a) kufíhlélá, kutlhotela v. apl. 2. v. pron. kutumbela v. i., kutifíhlá, kutitlhótá v. pron. || [esconder-se, pondo-se de cócoras]: kubzatama v. i.",20280821
colaborar,v i kutirhisana v rec.,20280822
espera,"s. f. a) kurindzela (ku), rindzelo (ri-ma). b) (lugar de espera) vurindzelo (vu). c) (emboscada) xirindzéla (xi-svi).",20280823
sol,s. m. a) (estrela em torno da qual giram a Terra e os outros planetas do sistema solar; a luz do sol) jambu dlambu (ri-ma) . b) (0 calor do sol) mumú (mu-mi).,20280824
unir,"1. v. t. a) (unificar) kuhlanganisa | kutlhanganisa v. caus. . b) (ligar) kutlhávínyéta, kukhúlékéta v. t. . c) (conciliar, harmonizar) kutwánánísa, kuyelanisa, kufámbélánísa v. caus. . d) (ligar pelo matrimónio) kuchatisa | kuchadisa v. caus.. 2. v. pron. a) (unificar-se) kuhlangana | kutlhangana v. rec. . b) (ligar-se) kutlhávínyétána, kukhúlékétána v. rec. . c) (conciliar-se) kutwánáná v. rec. . d) (ligar-se pelo matrimónio) kuchata | kuchada v. i.",20280825
satisfazer,"1. v. t. a) (realizar, cumprir) kulandza v. t. b) (pagar (uma dívida, um encargo)) kuriha v. t. c) (saciar, matar) kudláyá (ndlála) v. t. d) (agradar, contentar) kutsakisa v. caus. e) (indemnizar) kurilisa; kupfaleta v. t., kurihela v. apl. f) (ser conveniente) kufánélá, kuringana v. i. 2. v. i. (corresponder ao que se deseja; ser bastante ou suficiente) kuringana, kuyanela | kuyenela v. i. 3. v. pron. a) (saciar-se, fartar-se) kuxúrhá v. i. b) (vingar-se) kurihisa v. t., kutirihíséla v. pron. c) (contentar-se) kutsaka v. i.",20280826
cobrir,"v. t. a) kusívá v. t. b) (encher) kutátá v. t. c) (esconder) kufíhlá v. t. d) (proteger) kusírhela, kusírhéléla v. t. e) (agasalhar) kukapeka v. t. f) (ocupar por inteiro uma superficie) kupambela, kuphíngá, kupómá; kuyaneta kuyeneta v. t. || [cobrir com tampa, cobertor, etc.]: kumbhonya, kufúnéngéta v. t. || [cobrir cuidadosamente, por exemplo um bebé às costas]: kukhúmbárhéta v. t. || [cobrir a fêmea (Diz-se dos animais)]: kumithisa v. caus., kubeba, kudzíyá v. t. || [cobrir, o cão a cadela]: kupíngá v. t. 2. v. pron. a) (agasalhar-se) kutisívélá, kutisírhélá, kutikapéka v. pron., kufúnéngéla v. t. b) (esconder-se) kutifíhlá v. pron. c) (encher-se, cobrir-se, forrar-se) kutála v. t., kupambeliwa, kufúnéngétíwa v. pass. d) kutola v. i.",20280827
afastar,"v. t. a) (colocar a certa distância de) kutshindzeta, kususumeta v. t. || [afastar aos empurrões]: kuhlúhlúrhútéla v. t. || [afastar para o lado qualquer coisa que nos cai em cima, ou uma cortina, por exemplo]: kubákányá, kubákányísa v. t. b) (deslocar, remover) kususa, kubákányá, kukhipa v. t. || [afastar, por exemplo, a lenha do fogo para baixar-lhe a intensidade]: kutlhéngúlá v. t. c) (separar, isolar) kutsavuxa v. caus. d) (demitir, exonerar) kuhlóngólá, kususa v. t. 2. v. pron. a) (distanciar-se, apartar-se) kutsavuka v. i. || [afastar-se do caminho, por exemplo, para dar passagem, para abrigar-se da chuva, etc.]: kuchávúká, kuhámbúká v. i. || [afastar-se para dar passagem a alguém]: kudedeka, ou kuhámbúká v. i. b) (distanciar-se de (alguém com quem se tenha alguma convivência)) kuhámbáná v. i. c) (demitir-se, exonerar-se) kuhúmá, kutshika v. i.",20280828
amor,"s. m. a) rirhándzú (ri) (sem plural). || [amor maternal]: ripsálú (ri) (sem plural) b) (a pessoa amada) murhándziwá (mu-va) c) (a pessoa amada, a coisa amada) xirhándziwá (xi-svi).",20280829
cuidar,"v. t. kuhlayisa, kuvékísá, kulondza, kulondzisa v. t., kubasopa v. t. (H) passop. 2. v. pron. (usar de cautela) kuvóná v. t., kutivónéla v. pron.",20280830
preparar,"1. v. t. kululamisa, kulungisa, kulungisela | kulunghisa, kulunghisela kuvékísá, kuvékíséla v. t. 2. v. pron. kutilulamísa, kutilulámíséla, kutilungísa, kutilúngíséla | kutilunghisa, kutilunghiséla kutivékísá, kutivékíséla v. pron.",20280831
tocar,"1. v. t. a) kukhumba, kuhenya v. t., kumexera | kumexa v. t. (P) mexer. || [tocar ao de leve, de raspão]: kutlhetlha v. t.. || [tocar, no jogo de tocada]: kusvatha, kuzóthá v. t. . b) (tocar um instrumento musical; tirar sons de, fazer soar) kuchaya, kuyímbá; kubá. Ex.: tocar apito, apitar kubá mpepo . c) (fustigar, por exemplo, animais de tiro para que puxem o carro ou o arado) kuchayela v. t. . d) (dizer respeito) kulumba, kukhumba v. t., kuelana, kufámbélána v. t.. 2. v. pron. (começar a apodrecer - Diz-se dos alimentos.) kuhina, kudzuka, kudzukuta, kungqhungqha, kufurha, kupfundza | kuvhundha v. i.",20280901
inventar,"v. t. a) (criar) kutsámbá | kuqámbhí, kusúmá v. t. b) (forjar, maquinar) kuphaya, kufúlá v. t. c) (fantasiar) kupimisa, kulórhá v. t.",20280902
intervir,"v. i. a) (tomar parte) kunghéná, kukumeka v. i. b) (influir, usar de poder de controle (sobre)) kuvéká voko, kufúmá, kutóngá, kulawúla v. i. c) (interferir, meter-se de permeio) kunghéná; kunghénélá v. i., kutinghéníséla v. pron.",20280903
dominar,"v. t. kufúmá, kutóngá v. t; kupatsula v. t. (gir. Fut.) || [dominar perfeitamente, por exemplo, uma língua, um ofício]: kuchápútá v. t.",20280904
acolher,v. t. kuyamukela; kurhúrhélá v. t. 2. v. pron. (recolher-se) kusísá; kumúká.,20280905
alcançar,"v. t. a) (chegar ou poder chegar com a mão até, ou perto de (algo)) kufikela, kuchikela, kukumela v. t. || [não alcançar (por exemplo, o cimo de um móvel com a mão)]: kuhélélá v. i. b) (conseguir; perceber) kukuma; kutshúmbá v. t.",20280906
associar,v. t. kuhlanganisa | kutlhanganisa v. t. 2. v. pron. kutihlangánísa kutitlhangánísa v. pron.,20280907
montanha,"s. f. ntshava ntava (yi-ti), xiganga, xitsunga (xi-svi).",20280908
enxergar,v. t. kuvóná v. t.,20280909
triste,"adj. 2 gen. a) (sem alegria) -a kuxúkúvála, -a kutsána; -a kuvávíséka loc. adj. . b) (que infunde tristeza) -a kuxúkúválísa, -a kuvávísá loc. adj.",20280910
vida,"s. f. a) (estado ou condição dos organismos que se mantêm em contínua actividade desde o nascimento até a morte; o espaço de tempo que decorre desde o nascimento até a morte; existência) vutómí (vu). b) (modo de viver) kuhanya (ku), rihanyu (ri), mahanyela (ma). c) (natureza) ntumbuluku [cf. saúde]. || [vida militar]: vusóchwa (vu), vhída, trópa (ri-ma). (P) tropa.",20280911
natureza,"s. f. a) (todos os seres do universo) ntumbuluku (mu-mi). b) (carácter inato) tshamela (ri-ma). c) (indole, carácter) hanyela (ri-ma). d) (carácter, tipo ou espécie) rihlovo (ri-ti), muhlovo, muxaka (mu-mi), khayini (ri-ma). (1) kind. e) (o que compõe a substância do ser) nyota (mu-mi), vuqovo (vu), xiviri (xi-svi). f) (as partes genitais do homem ou da mulher (especialmente as do homem)) vumunhu, vumbisi (vu). (euf.). [cf. humanidade, nudez].",20280912
exercer,"v. t. & i. kuyendla | kuyenca, kumaha v. t; kutirha v. i.",20280913
viver,"1. v. t. (gozar, desfrutar, fruir (a vida, um momento)) kuhanya v. t. 2. v. i. a) (ter vida; passar a vida, dedicar muito tempo) kuhanya v. i. b) (perdurar) kutshámá, kusímámá v. i. c) (habitar, morar) kuhanya, kutshámá v. i. d) (alimentar-se) kuxúrhá v. i. || [viver bem, à larga]: kuxúrhá v. i. e) (dedicar-se inteiramente) kuhanyela, kuchívíríkéla v. apl. f) (conviver) kuhanyisana v. rec.",20280914
confiar,"v. t. a) (acreditar) kutshémbá v. t. b) (transmitir, encarregar) kurhwéxá; kunyíká, kutamelisa, kufísétá v. t. c) (encomendar, recomendar) kunyíkétá v. t.",20280915
comemorar,"v. t. 1. (trazer à memória; fazer recordar) kutsúndzúxá v. caus. 2. (solenizar, recordando) kukúmbúká, kutsúndzúká v. t. 3. (ext.) (festejar, celebrar) kukúlúngéla v. t.",20280916
alegrar,v. t. kutsakisa v. caus. 2. v. pron. kutsaka v. i.,20280917
reunir,"1. ut. a) (juntar (o que se achava disperso); agrupar) kuhlanganisa u. caus., kuhlengeleta v. t. b) (fazer comunicar (uma coisa com outra)) kuhlanganisa v. caus., kukhúlékéta v. t. c) (aliar, juntar, combinar; harmonizar) kutwánánísa; kuyelanisa v. caus. 2. v. i. (realizar reunião) kuhlengeletana v. i. 3. v. pron. a) (ajuntar-se, unir-se) kuhlangana v. rec. b) (aliar-se, unir-se, em favor de) kutwáná v rec.",20280918
ver,"1. v. t. (perceber ou conhecer pela visão; avistar; presenciar; notar; concluir) kuvóná v. t. 2. v. i. (perceber as coisas pelo sentido da visão) kuvóná v. i. 3. v. pron. a) (mirar-se; reconhecer-se) kutivóná v. pron. b) (achar-se em certo estado, condição, ou lugar) kutikúmá, kutivóná v. pron. c) (encontrar-se mutuamente) kukumana, kuvónáná v. rec.",20280919
jogar,"v. t. a) kuchá | kuthá, kutlángá v. t. b) (qualquer jogo em que se impulciona a bola com os pés) kubélá, kukhavela v. i. c) (arremessar, atirar) kuhoxa, kujíkíjéla, kucúmékétéla | kucúkúmétéla v. t. 2. v. i. a) kuthá kuchá, kutlángá v. i. b) (qualquer jogo em que se use uma bola) kubélá, kukhavela v. i. c) (combinar, harmonizar-se) kuyelana, kufámbélána v. d) (oscilar, balançar(-se)) kudzéládzéla, kuncíkínyá, kuncínkáncínka v. i.",20280920
beneficiar,"v. t. kupfuna, kusízá v. t., kuvúyélísa v. caus., kusáséla v. apl. 2. v. i. kupfuneka v. i., kuvúyélíwa v. i. 3. v. pron. (beneficiar-se) kutipfúná, kutisízá v. pron.",20280921
violeta,"1. adj. (da cor da violeta, violeta) -á muválá wá vhínyu loc. adj. 2. s. m. (a cor roxa; violeta) ribúngúngatí (ri).",20280922
informar,"v. t. a) (dar informe ou parecer sobre) kutívísá v. t., kuvíká kubíká v. t., kurúngúlá, kuhlamusela v. t. b) (instruir, ensinar) kujóndzísá v. t. c) (confirmar, apoiar) kutíyísá, kusékétéla v. t. 2. v. pron. (tomar conhecimento de; inteirar-se) kutívá; kumámélá v. i.",20280923
imaginar,"v. t. a) (pensar) kuyanakanya, kuyehleketa, kupimisa, kuqavanga, kujá ngqhóndho v. t. b) (supor) kukumbeta, kukumbetela, kukáríngéta, kupimanisa v. t. c) (fantasiar) kulórhá v. t. [cf. sonhar], kuphaya kujámúká v. t.",20280924
fogo,"s. m. a) (lume) ndzilo (mu-mi). b) (chama) s. f. lángavi (ri-ma), rivávula (ri-ti). c) (facho, archote) xisásándzílo, xisásá (xi-svi). d) (fogão, lareira, etc.) xitíkó (xi-svi). e) (residência de uma família; lar) njangu (mu-mi). f) (descarga de arma) kudúvúlá (ku). g) (sensação geral de calor pronunciado e incômodo) kuhísá (ku). h) (clarão intenso; inflamação espontânea de gases emanados de sepulturas e de pântanos) xivaso (xi-svi).",20280925
mundo,"s. m. a) (o globo terrestre; a Terra) misava (mi). b) (tudo o que existe na Terra; universo) ntumbuluku (mu). c) (a humanidade; as pessoas) munhu (mu-va), vanhu (va), misava (mi).",20280926
formular,"v. t. a) (expor com precisão, exprimir (um conceito, pedido, proposta, etc.)) kuhlamusela, kukómbísá v. t. b) (receitar) kuleleta (murhí) v. t., kuresetara (murhí) v. t. (P) receitar.",20280927
mostrar,"1. v. t. a) (indicar, apontar) kukomba v. t.. || [mostrar o traseiro]: kuhontola v. i, kuhontolela v. apl., kuhonto ideo. || [mostrar as nádegas ou as coxas]: kuvhevhula, kucengula. b) (indicar com o dedo, ponteiro, etc.) kukombeta, kuxungameta v. t.. 2. v. pron. a) (mostrar-se, pavonear-se) kutivombisa, kutigwirisa kugwira v. i.. b) (mostrar-se, ser evidente, revelar-se) kutikomba v. pron.. || [mostrar os dentes (como num sorriso ou num esgar de raiva)]: kucinama v. t., kucinini ideo.",20280928
completar,"v. t. a) kuhlanganisa | kutlhanganisa v. caus. kutátá, kutátísá v. t. b) (concluir) kuhétísá v. t. 2. v. pron. a) kuhlangana, kuhéla; kutála v. i. b) (estar completo, perfeito) kuhélélá, kuhétíséka v. i.",20280929
gostar,"v. t. a) (preferir) kurhándzá v. t. b) (apreciar) kulává v. t., kutsakela v. apl.",20280930
contar,"v. t. a) (narrar) kurúngúlá, kuqoqa, kutshandza, kumámúlá v. t. || [contar, por exemplo uma história, uma lenda]: kuchá | kuthá, kutshékétá v. t. || [contar uma fofoca]: kubzélétéla, kundzavata v. t. b) (determinar o número) kukonta, kukontela v. t. (P), kub'ala v. t. (Z). Ex.: contar o gado no curral kukonta/kub'ala tihomu rhangéni. || [contar no abstracto]: kuhlayela v. i., kukontela v. i. (P).",20281001
completar,"v. t. a) kuhlanganisa | kutlhanganisa v. caus. kutátá, kutátísá v. t. b) (concluir) kuhétísá v. t. 2. v. pron. a) kuhlangana, kuhéla; kutála v. i. b) (estar completo, perfeito) kuhélélá, kuhétíséka v. i.",20281002
contribuir,"v. i. (colaborar, cooperar) kupfúnétá, kuvéká voko v. i., kutirhisana v. rec. || [contribuir (em dinheiro ou outros bens)]: kukhupa, kuhlenga v. t.",20281003
encontrar,"v. t. kukuma v. t. || [não encontrar]: kupfúmálá v. t. 2. v. pron. a) (achar-se, haver, existir) kukumeka v. i. b) (encontrar-se com) kukumana, kudíváná, kuhlangana, kukotlana v. rec.",20281004
alegria,"s. f. a) kutsaka (ku), ntsaku (mu-mi). b) (bonacheirice, jocosidade) rihleko (ri-ma) (geralmente no plural).",20281005
celebrar,"v. t. a) (fazer realizar com solenidade; promover) kurhángélá, kufámbísa v. caus. b) (festejar) kuyendla nkhuvu v. i. c) (publicar com louvor; exaltar) kutlángélá v. t., kudzunisa, kutlakusa v. caus. d) (acolher com festejos, comentários, demonstrações ruidosas, etc.) kuyamukela hí mintlóló v. t.; kukúlúngéla v. t. e) (concluir (um acto ou contrato)) kutiyísa v caus., kufunga v. t. f) (dizer, rezar (missa); dirigir (culto)) kukhóngélísa v. caus. kuyendla mísa v. i.; kufámbísá sónto, kusóntísa v. caus.",20281006
verificar,"1. v. t. kukámbísísa, kuxópáxópa, kuxíyísísa, kukhexa v. t., kuchéká v. t. (l) check. 2. v. pron. kuvónéká, kuyendleka, kuhúméléla v. i.",20281007
hoje,"adv. a) namúntlha | nyamúntlha adv. b) (na época que corre, actualmente) masíkú lawa (loc. adv., namúntlha adv).",20281008
estudar,"v. t. a) (aprender) kujóndzá, kufúndhá v. t. b) (analisar, assuntar-se sobre) kuxópáxópa, kujóndzá, kukámbá, kutlhantlha, kuxíyá v. t., kunalizara v. t. (P) analisar.",20281009
aplaudir,"v. t. (incitar, aplaudir, por exemplo a um cantor, um artista em palco) kukhúzá, kukhúzélá v. t. (Z) ukukhuza. || [aplaudir, por exemplo, a um cantor, um artista em palco, oferecendo-lhe dinheiro ou outro bem de ocasião]: kukhómbá, kuqókóléla, kuchachazela v. t. 2. v. i. (aplaudir batendo as palmas) kubá mándla, kubá mavókó, kuphókótá mándla, kuphókótá mavókó kuphákátá mándla, kuphákátá mavókó; kuphókótéla | kuphákátéla v. i.",20281010
sorriso,"s. m. kuhlekelela, kun'wayitela, kub'onyozela, kurhun'wata (kn), n'wayitelo, b'onyozelo (mu-mi).",20281011
fruta,s. f. mihandzu (mi); handzu (mu-mi). || [fruta seca]: svitsómbé (svi).,20281012
entregar,"v. t. kunyíkélá, kunyíkétá, kuhéndléléta v. t. [entregar de má vontade, atirando]: kudládláláta, kudlídlíríta, kupípíríta, kugígíríta, kuhíhílíta v. t. 2. v. pron. kutinyíkélá, kutinyíkétá v. pron.",20281013
sugerir,v. t. kuxungameta; kutlhávúkányísa; kuvéká mavónélá; kukómbísá v. t.,20281014
adaptar,"v. t. kuyelanisa; kubámbíyéta v. t. b) (habituar, acostumar, afazer, adaptar) kutólóvéta v. caus. c) (ajustar a uma situação sem estar, ou não estando inteiramente, de acordo com ela) kubámbíyéta, kurhén-dzévéta v. t. d) (aplicar, apor) kuvékéla v. t. kudapitara (P). adaptar. 2. v. pron. kutólóvéla v. i.",20281015
participar,"v. t. a) (avisar) kutivisa v. t.. b) (fazer queixa, denunciar) kumangalela, kuqeva (ku). c) (ter ou receber parcela de um todo) kuyaveliwa, kulawuliwa v. pass.. d) (tomar parte) kukumeka, kuhlengela v. i.",20281016
voar,"v. i. kuhaha, kupuruma v. i.",20281017
atender,"v. t. a) (dar atenção, fazer caso de; levar em conta) kunaka, kukhátáléla, kulondzisa kulondza v. t., kutendera v. t. (P). b) (prestar auxilio a) kutsutsumela kupfuna v. t. c) (responder, por exemplo, a um chamado, a uma chamada telefónica) kuhlamula, kuyangula v. t., kutendera v. t. (P).",20281018
guiar,"v. t. a) (conduzir) kufámbísá; kukómbá (ndléla) v. t. b) (aconselhar) kuvónísá, kululeka v. t.",20281019
exemplificar,"v. t. kufanisa, kukómbísá, kuringanisa, kupimanisa, kuringanyeta v. t.",20281020
capacitar,"v. t. kutlháríhísa v. caus., kunyíká ntámu v. t.",20281021
família,"s. f. a) njangu, munti (mu-mi), nghámú (yi-ti), b) (parente) xaka (ri-ma). c) (ascendência, linhagem) rixaka (ri-ti).",20281022
lembrar,"v. t. (fazer lembrar) kurímúxá, kurímúkísa, kutsúndzúxá, kutsúndzúkísa, kuyanakanyisa, kukúmbúxá, kukhúmbúzá v. caus. 2. v. i. & pron. (lembrar-se) kurímúká, kutsúndzúká, kukúmbúká, kukhúmbúlá, kuyanakanya v. t.",20281023
grande,adj. 2 gen. -kúlú adj. || [muito grande]: -kúlúkumba adj.,20281024
fortalecer,v. t. kutíyísá v. caus.,20281025
juntar,"v. t. a) (pôr junto) kuhlanganisa v. caus., kuhlengeleta v. t. b) (misturar) kupfángányisa | kupfángá, kupfángányéta, kudívánísa v. caus., kukátsá, kupátsá v. t. c) (acrescentar) kuyengeta, kuyengetela, kutlhantekela v. t. 2. v. pron. a) (juntar-se; misturar-se) kuhlangana, kuhlengeletana, kub'útháná; kupfángáná, kukátsáná, kupátsáná, kudivana v. rec. b) (amasiar-se) kuhanya ní mbuye v. i.; kutitlhúvá v. pron. (Diz-se da mulher.).",20281026
brilhar,"v. t. kuvangama, kuphatima | kuhatima v. i., kuvayivayi, kuphatiphati, ideo. || (brilhar por um momento) kutsayita v. i.",20281027
vento,"s. m. móyá (mu-mi), méhó | mhéhó (yi-ti). || [vento acompanhado de poeira]: búbutsa (ri-ma). || [vento do leste]: mfenyá (yi-ti). || [vento do sudoeste]: mfenyánkúlú (yi-ti), ximbhémbwé (xi-svi). || [vento sul]: madzóngá (mu-va).",20281028
horizonte,"s. m. a) (linha do horizonte) magimamusi (ku), vugimamusi (vu). b) (perspectiva) lángútélo (ri-ma).",20281029
corrigir,"v. t. kululeka, kulungisa | kulunghisa, kululamisa v. caus.",20281030
voltar,"1. v. t. a) (mudar de posição ou direcção) kuhundzuluta, kuhundzuketa, kundzúlútá v. caus. b) (virar de baixo para cima) kujima v. t. c) (dirigir, apontar) kukóngóméta v. caus., kukómbeta, kuxungameta v. t. 2. v. i. a) (ir ou dirigir-se ao ponto de onde partiu; regressar, retornar) kutlhela v. i. || [ir de volta à casa, ao lugar habitual]: kumúká, kutlhelela v. i. || [vir de volta à casa, ao lugar habitual]: kuvúyá v. i. || [voltar ao curral de manhã cedo depois de uma rápida pastagem, para a ordenha - Diz-se do gado.]: kubúthá | kuvúthá v. i. || [voltar a si]: kuxálámúka | kukálámúka, kusísímúka, kuqavuka v. i. || [voltar a]: kutlhela, kuyengeta, kuphinda v. aux. b) (virar-se) kudiba v. i. Ex.: O carro voltou-se. Móvha wúdíbíle. 3. v. pron. a) (voltar-se, revirar-se) kutshúkátshúka | kuchúkáchúka, kuhundzuluka, kuhundzukula, kundzúlúká v. i. b) (revoltar-se, insurgir-se) kuhundzukela, kupfúkélá v. apl.",20281031
motivar,"v. t. a) (dar motivo a; causar; produzir) kuvanga v. t., kuvangela v. apl.. b) (incitar, interessar) kususumeta, kuhlohlotela, kukucetela v. t.; kunyanyukisa v. caus.",20281101
saber,1. v. t. & i. kutívá v. t. & i. 2. s. m. (conhecimento) vutíví (vu).,20281102
trabalhar,"1. v. t. (pôr em obra; lavrar; esmerar-se na feitura ou execução de; pôr (pessoa, grupo, colectividade) em condições de assumir determinado papel) kutirha v. t., kusévénzhá v. t. (Z) . 2. v. i. a) (ocupar-se em algum mister; exercer o seu oficio) kutirha v. i., kusevénzhá v. i. (Z), kujóbá | kujópá v. i. (l) job . b) (estar em funcionamento, em movimento; funcionar) kutirha v. i.",20281103
beijar,"v. t. kunqunta v. t., kukhísá v. t. (1) kiss, kutéká khísi, kupsómpsá khísi v. t., kubexjara, kubexjinyara v. t. (P).",20281104
proteger,"v. t. kuvhikela, kusírhélá, kusírhéléla; kusékétéla v. t. || [proteger com cerca]: kubíyélá, kubíyéléla, kuvávélá v. t. || [proteger (a casa) dos maus espíritos]: kubíyá v. t.",20281105
arrancar,"v. t. a) (desprender da terra) kutsuvula, kusímúlá v. t. || [arrancar tufos de ervas com golpes de enxada]: kubvavula v. t. b) (fazer sair, puxando) kuhlomula; kugúlá; kurhúndzúvúla | kurbúrbúvúla, kurhúrbúmbúla v. t. c) (afastar, desviar) kususa, kukhipa v. t. d) (tirar à força) kuwutla v. t. 2. v. i. a) (partir ou sair com impeto ou de repente) kubángúlá v. i. b) (pegar, por exemplo, o motor de arranque de um automóvel) kustátá v. i. (1) start. c) (pegar, por exemplo, o motor) kuduma v. i. d) (começar) kusungula v. i.",20281106
mover,"1. v. t. a) (dar ou comunicar movimento a; pôr em movimento; mexer) kuninginya, kuninganingisa, kufambisa v. caus.. || [mover a bacia, a pelve, para frente e para trás, como em algumas danças]: kukhwinya v. i. (gross.) || [mover a bacia, a pelve, para frente e para trás, na cópula carnal]: kukhwinyeta, kukhwinyetela v. t. & i. (obsc.) b) (fazer sair do lugar) kususa, kukhipa v. t.. c) (movimentar de um para outro lado; menear) kuhlakahla, kusuluta v. t.. d) (inspirar dó ou compaixão a; comover) kujuja, kukhumba; kukhoma mbilu v. t.. 2. v. i. a) (causar comoção) kujuja, kukhumba; kukhoma mbilu v. i.. b) (ter aborto) kuxixa, kuboxa; kuholota v. i. [cf. abortar]. 3. v. pron. a) (estar ou pôr-se em movimento; mexer-se de um para outro lado) kuninginika; kufambafamba v. i.. b) (agitar-se) kutsekatseka; kutshukatshuka kuchukachuka v. i.. c) (passar, decorrer) kuhundza, kunhlula v. i.. d) (caminhar, andar) kufamba v. i.. e) (comover-se) kukhomiwa mbilu; kunyanyuka v. i.",20281107
forte,"adj. -á ntámu, -á mátimbá; -á kutíyá, -á kutháthélá loc. adj. 2. s. m. (fortaleza) khokholo (ri-ma).",20281108
escolher,"v. t. kukhétá, kulángá, kuhlawula v. t. || [escolher, tirar à sorte]: kuvhátá v. t.",20281109
receber,". t. a) kuyamukela v. t. || [receber salário, subsídio]: kuhola v. t. || [não receber (numa distribuição, por já não haver mais)]: kukíyélá v. t. || [não receber o suficiente : kukáyívéla v. i. b) (aceitar) kupfumela v. t. c) (hospedar) kurhúrhélá v. t. d) (ser alcançado ou atingido por; apanhar) kukumiwa v. pass., kukuma v. t.",20281110
casa,"s. f. a) yindlo (yi-ti). || [casa sem mobília): mpángaxa (mu-mi). || [casa de banho]: xikótí (xi-svi), vuhlambelo (vu). b) (lar, familia) munti | muti (mu-mi); kayá (ri-ma). || [casa paterna]: ká le kw- (ku). Ex.: a minha/ a nossa casa paterna ká le kwérhú Ex.: a tua/ a vossa casa paterna ká le kwénú Ex.: a sua (dele/ deles) casa paterna ká le kwávú c) (abertura por onde passa o botão) xiva (xi-svi), nhuva (yi-ti).",20281111
brisa,"s. f. svimóyáná (svi), rimóyáná (ri).",20281112
planejar,"| planear v. t. kukúngúháta, kuyáká makúngú v. t., kupúláná, kubá mpúlána v. t. (1) plan.",20281113
responder,"ut. kuhlamula, kuyangula, kuphindhula ut. || [responder a um chamamento, a um cumprimento]: kupfumela v. i.",20281114
garantir,"v. t. kutíyísá, kutshémbísá v. t. kuyendla lésváku v. i.",20281115
verde,"adj. 2 gen. a) (Diz-se da cor verde) -á rihláza loc. adj. Ex.: capulana verde. ngu-vu yá rihláza. b) (não maduro) -mbísí adj. Ex.: tomate verde ximátí ximbísí. c) (tenro, jovem - Diz-se das plantas.) -á kútsákáma loc. adj.",20281116
agir,"v. i. a) (actuar) kuyendla | kuyenca, kutirha v. i. b) (dispor de maneira que evite (dano, mal)) kusívélá, kulúmúkéla v. t.",20281117
desenhar,"v. t. a) kutsálá, kurhálá v. t., kudezenyara v. t. (P), kudórówá v. t. (1) draw. b) (conceber, projectar) kukúngúháta, kupimisa v. t.",20281118
treinar,"1. v. t. kulétélá v. t., kuternara | kutrenara v. t. (P), kutólóvéta v. caus., kuternarisa | kutrenarisa v. caus.. 2. v. i. & pron. kutitólóvéta v. pron., kuternara | kutrenara v. i. (P) .",20281119
